CellName;Cell_ID;Longitude_Sector;Latitude_Sector;CoverageType;SiteID;Azimuth;HorizBeamwidth;VertBeamwidth;Technology;LAC;eNodeBID;mcc;mnc;Downtilt;Electrical_DownTilt;BSC_ID;RF_Solution;expected_cell_range;Antenna_id
MED_0047_C01_409_l2;8;10.98802778;33.80677778;outdoor;6048;240;;;4G;55601;6048;605;1;;;;macro;727;1
MED_0047_C01_409_l3;9;10.98802778;33.80677778;outdoor;6048;330;;;4G;55601;6048;605;1;;;;macro;1115;1
MED_0047_C01_409_j4;114;10.98802778;33.80677778;outdoor;6048;130;;;4G;55601;6048;605;1;;;;macro;1425;1
MED_0060_C03_110_l1;7;10.97378056;33.86160833;outdoor;6061;80;;;4G;55601;6061;605;1;;;;macro;551;1
MED_0060_C03_110_l2;8;10.97378056;33.86160833;outdoor;6061;210;;;4G;55601;6061;605;1;;;;macro;495;1
MED_0060_C03_110_l3;9;10.97378056;33.86160833;outdoor;6061;320;;;4G;55601;6061;605;1;;;;macro;892;1
MED_0075_C01_110_j1;104;11.21901111;33.15396944;outdoor;6076;70;;;4G;55602;6076;605;1;;;;macro;1543;1
MED_0075_C01_110_j2;105;11.21901111;33.15396944;outdoor;6076;190;;;4G;55602;6076;605;1;;;;macro;1398;1
MED_0075_C01_110_j3;106;11.21901111;33.15396944;outdoor;6076;330;;;4G;55602;6076;605;1;;;;macro;2078;1
MED_0077_C03_110_l1;7;11.20155;33.14733056;outdoor;6078;90;;;4G;55602;6078;605;1;;;;macro;1451;1
MED_0077_C03_110_l2;8;11.20155;33.14733056;outdoor;6078;190;;;4G;55602;6078;605;1;;;;macro;1011;1
MED_0077_C03_110_l3;9;11.20155;33.14733056;outdoor;6078;300;;;4G;55602;6078;605;1;;;;macro;2646;1
MED_0090_C02_113_l1;7;10.958125;33.87065556;outdoor;6091;40;;;4G;55601;6091;605;1;;;;macro;864;1
